contract_id,event_family_id,source,market_id,title,structural_theme,decision,decision_reason,decided_by,decided_at,quality_score,gates_passed,auto_recommendation
Manifold::69D7abJaaEexCxQ2BOZB,us_debt_ceiling_2023,Manifold,69D7abJaaEexCxQ2BOZB,Will the US debt ceiling be raised by the end of May 2023?,fiscal_debt,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manifold::Ec5AX7QQHNOvWN8rv1l9,ukraine_invasion_2022,Manifold,Ec5AX7QQHNOvWN8rv1l9,Will Russia invade any parts of Ukraine besides Donetsk and Luhansk oblast before March 8?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::aug_volatility_2024,aug_volatility_2024,Manual,,Will the August 2024 volatility spike produce a short equity drawdown?,trade_technology,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::china_taiwan_2024,china_taiwan_2024,Manual,,Will China-Taiwan escalation trigger an August 2024 risk-off move?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::covid_crash_2020,covid_crash_2020,Manual,,Will COVID-19 trigger a global market panic by March 2020?,systemic_credit,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::eu_banking_contagion_2024,eu_banking_contagion_2024,Manual,,Will EU banking contagion trigger a November 2024 equity drawdown?,systemic_credit,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::oct_selloff_2023,oct_selloff_2023,Manual,,Will a higher-for-longer rate scare trigger the October 2023 selloff?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::rate_hike_shock_2022,rate_hike_shock_2022,Manual,,Will aggressive Fed tightening trigger an equity selloff by mid-2022?,monetary_policy,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
Manual::svb_contagion_2023,svb_contagion_2023,Manual,,Will a major US bank failure trigger a March 2023 equity drawdown?,systemic_credit,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_debt_ceiling_2023,metaculus_debt_ceiling_2023,metaculus,,US debt ceiling resolution risk in 2023,fiscal_debt,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_debt_default_risk_2023,metaculus_debt_default_risk_2023,metaculus,,US debt default risk in 2023,fiscal_debt,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_eu_ai_act_enforcement_2024,metaculus_eu_ai_act_enforcement_2024,metaculus,,EU AI Act enforcement in 2024,trade_technology,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_government_shutdown_2025,metaculus_government_shutdown_2025,metaculus,,US government shutdown risk in 2025,fiscal_debt,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_sec_crypto_action_2024,metaculus_sec_crypto_action_2024,metaculus,,SEC crypto enforcement action in 2024,trade_technology,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
metaculus::metaculus_svb_contagion_2023,metaculus_svb_contagion_2023,metaculus,,SVB contagion risk in 2023,systemic_credit,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::501863,geopolitical_israel_x_hamas_ceasefire_before_september_2024,polymarket,501863,Israel x Hamas ceasefire before September?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.734008,,APPROVE
polymarket::504664,geopolitical_will_israel_invade_lebanon_before_november_2024,polymarket,504664,Will Israel invade Lebanon before November?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.733333,,APPROVE
polymarket::507115,geopolitical_russia_x_ukraine_ceasefire_in_2024_2025,polymarket,507115,Russia x Ukraine Ceasefire in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.542919,,APPROVE
polymarket::507749,geopolitical_u_s_military_action_against_iran_before_november_2024,polymarket,507749,U.S. military action against Iran before November?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.405963,,APPROVE
polymarket::510132,geopolitical_israel_withdraws_from_gaza_in_2024_2025,polymarket,510132,Israel withdraws from Gaza in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.473629,,APPROVE
polymarket::511043,geopolitical_another_israeli_military_action_against_iran_in_2024_2025,polymarket,511043,Another Israeli military action against Iran in 2024?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.672365,,APPROVE
polymarket::511520,geopolitical_iran_strike_on_israel_before_december_2024,polymarket,511520,Iran strike on Israel before December?,geopolitical,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,0.605553,,APPROVE
polymarket::electoral_trump_sentenced_to_house_arrest_2024,electoral_trump_sentenced_to_house_arrest_2024,polymarket,,Trump sentenced to house arrest?,electoral,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
polymarket::electoral_will_cyril_ramaphosa_be_the_next_president_of_south_africa_2024,electoral_will_cyril_ramaphosa_be_the_next_president_of_south_africa_2024,polymarket,,Will Cyril Ramaphosa be the next President of South Africa?,electoral,APPROVED,Bootstrap imported from legacy governed universe.,bootstrap,2026-03-25T22:03:29+00:00,,,APPROVE
