event_id,title,theme,resolution_date,peak_probability,min_probability,probability_range,total_volume_usd,num_traders,num_history_points,suggested_action
,Will Republicans have between 220 and 224 seats in House after election?,electoral,2024-12-04,0.9825,0.06,0.9225,347290.68,,111,REVIEW_CAP
,Will Republicans have between 215 and 219 seats in House after election?,electoral,2024-12-04,0.375,0.006,0.369,344808.7,,111,REVIEW_CAP
,Will Nigel Farage win election to UK parliament?,electoral,2024-07-05,0.9725,0.69,0.2825,326337.44,,32,REVIEW_CAP
,Will Republicans have 230 or more seats in House after election?,electoral,2024-12-04,0.3,0.0005,0.2995,247672.6,,111,REVIEW_CAP
,Will U.S. Supreme Court vote to reinstate Trump on Colorado's 2024 ballot?,electoral,2024-03-04,0.92,0.235,0.685,244342.63,,75,REVIEW_CAP
,Will Republicans have between 225 and 229 seats in House after election?,electoral,2024-12-04,0.335,0.0005,0.3345,185403.96,,111,REVIEW_CAP
,Will Fischer win Nebraska senate election by 7+ points?,electoral,2024-12-02,0.95,0.0155,0.9345,172535.87,,33,REVIEW_CAP
,Will Republicans have fewer than 200 seats in House after election?,electoral,2024-12-04,0.21,0.0005,0.2095,125095.79,,111,REVIEW_CAP
,Will Republicans have between 210 and 214 seats in House after election?,electoral,2024-12-04,0.5,0.0005,0.4995,117571.68,,111,REVIEW_CAP
,Will Republicans have between 205 and 209 seats in House after election?,electoral,2024-12-04,0.56,0.0005,0.5595,112828.85,,111,REVIEW_CAP
,"Will Donald Trump be President of the USA on November 30, 2023?",electoral,2023-12-01,0.5,0.0005,0.4995,110640.79,,127,REVIEW_CAP
,Will Cyril Ramaphosa be the next President of South Africa?,electoral,2024-06-15,0.9995,0.275,0.7245,97507.33,,64,REVIEW_CAP
,Will Republicans have between 200 and 204 seats in House after election?,electoral,2024-12-04,0.515,0.0005,0.5145,89222.38,,111,REVIEW_CAP
,Will VB win the most seats in the Belgian federal elections?,electoral,2024-06-11,0.965,0.0005,0.9645,70561.55,,35,REVIEW_CAP
,Will the N-VA win the most seats in the Belgian federal elections?,electoral,2024-06-11,0.995,0.0215,0.9735,38209.94,,35,REVIEW_CAP
,Jeremy Corbyn elected to parliament in UK election?,electoral,2024-07-05,0.83,0.325,0.505,37952.52,,42,REVIEW_CAP
,Will Garvey win the California Senate Primary by between 0-2% of the vote?,electoral,2024-04-13,0.72,0.006,0.714,37592.34,,37,REVIEW_CAP
,Trump sentenced to house arrest?,electoral,2024-11-05,0.435,0.0025,0.4325,36124.71,,158,REVIEW_CAP
,Will another non-ANC candidate be the next President of South Africa?,electoral,2024-06-15,0.499,0.0005,0.4985,32786.53,,64,REVIEW_CAP
,Labour wins 30-35% of votes?,electoral,2024-07-06,0.974,0.035,0.939,31262.22,,44,REVIEW_CAP
,Trump eligible to vote in the election?,electoral,2024-11-07,0.995,0.68,0.315,30504.35,,160,REVIEW_CAP
,Will John Steenhuisen be the next President of South Africa?,electoral,2024-06-15,0.5,0.0005,0.4995,26523.76,,64,REVIEW_CAP
,Labour wins 35-40% of votes?,electoral,2024-07-06,0.79,0.075,0.715,16268.76,,44,REVIEW_CAP
,Will the EPP win the most seats in European Parliament?,electoral,2024-06-16,0.9995,0.5,0.4995,14337.49,,34,REVIEW_CAP
,Labour wins 40-45% of votes?,electoral,2024-07-05,0.51,0.275,0.235,13284.33,,43,REVIEW_CAP
,Will another ANC candidate be the next President of South Africa?,electoral,2024-06-15,0.525,0.0005,0.5245,12264.37,,64,REVIEW_CAP
,Labour wins 45-50% of votes?,electoral,2024-07-05,0.34,0.065,0.275,10973.51,,43,REVIEW_CAP
,Will Peter Obi be elected as President of Nigeria in the upcoming 2023 Presidential Election?,electoral,2023-05-29,0.71,0.03,0.68,7709.79,,130,REVIEW_CAP|LOW_LIQUIDITY
,Will Atiku Abubakar be elected as President of Nigeria in the upcoming 2023 Presidential Election?,electoral,2023-05-29,0.63,0.03,0.6,5108.39,,130,REVIEW_CAP|LOW_LIQUIDITY
,Will the S&D win the most seats in European Parliament?,electoral,2024-06-16,0.5,0.0005,0.4995,3949.23,,34,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 180-189 seats in the European Parliament?,electoral,2024-07-17,0.595,0.155,0.44,3576.69,,65,REVIEW_CAP|LOW_LIQUIDITY
,Will the ECR win the most seats in European Parliament?,electoral,2024-06-16,0.5,0.0005,0.4995,3325.27,,34,REVIEW_CAP|LOW_LIQUIDITY
,Will ID win the most seats in European Parliament?,electoral,2024-06-16,0.5,0.0005,0.4995,2959.08,,34,REVIEW_CAP|LOW_LIQUIDITY
,Will Bola Tinubu be elected as President of Nigeria in the upcoming 2023 Presidential Election?,electoral,2023-05-29,0.955,0.2,0.755,2917.23,,129,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 190-199 seats in the European Parliament?,electoral,2024-07-17,0.5245,0.04,0.4845,2825.52,,65,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win less than 150 seats in the European Parliament?,electoral,2024-06-20,0.5,0.0005,0.4995,2696.75,,38,REVIEW_CAP|LOW_LIQUIDITY
,Will another party win the most seats in European Parliament?,electoral,2024-06-16,0.5,0.0005,0.4995,2015.69,,34,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 160-169 seats in the European Parliament?,electoral,2024-06-20,0.575,0.13,0.445,1927.01,,38,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 150-159 seats in the European Parliament?,electoral,2024-06-20,0.52,0.0005,0.5195,1914.19,,38,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 170-179 seats in the European Parliament?,electoral,2024-06-20,0.66,0.32,0.34,1886.1,,38,REVIEW_CAP|LOW_LIQUIDITY
,Will the EPP win 200 or more seats in the European Parliament?,electoral,2024-06-20,0.5,0.0005,0.4995,843.28,,38,REVIEW_CAP|LOW_LIQUIDITY
,US debt ceiling hike by July 1?,fiscal_debt,2023-06-03,0.995,0.18,0.815,108835.7,,37,REVIEW
,Israel x Hezbollah Ceasefire in 2024?,geopolitical,2024-12-05,0.9995,0.25,0.7495,40061277.63,,72,REVIEW
,Will Israel invade Syria in 2024?,geopolitical,2024-12-21,0.9995,0.017,0.9825,16819559.74,,99,REVIEW
,Will Israel invade Lebanon before November?,geopolitical,2024-10-06,0.9995,0.09,0.9095,5313533.73,,60,REVIEW
,Israel x Hamas ceasefire in 2024?,geopolitical,2025-01-01,0.67,0.003,0.667,3950958.94,,147,REVIEW
,Russia x Ukraine Ceasefire in 2024?,geopolitical,2025-01-01,0.215,0.001,0.214,3514408.22,,107,REVIEW
,Another Iran strike on Israel in 2024?,geopolitical,2025-01-01,0.67,0.0005,0.6695,3168665.69,,67,REVIEW
,Another Iran strike on Israel in October?,geopolitical,2024-11-01,0.585,0.0055,0.5795,1770275.94,,30,REVIEW
,Another Israeli military action against Iran in 2024?,geopolitical,2025-01-01,0.695,0.003,0.692,1660869.0,,65,REVIEW
,Will Israel invade Lebanon before September?,geopolitical,2024-09-01,0.645,0.0005,0.6445,1345780.16,,95,REVIEW
,Iran strike on Israel before December?,geopolitical,2024-12-01,0.53,0.0025,0.5275,1317271.58,,31,REVIEW
,U.S. military action against Iran before November?,geopolitical,2024-11-01,0.1555,0.0045,0.151,1070645.35,,39,REVIEW
,Israel x Hamas ceasefire before September?,geopolitical,2024-09-01,0.715,0.002,0.713,972382.17,,95,REVIEW
