event_id,title,source,status
electoral_will_u_s_supreme_court_vote_to_reinstate_trump_on_colorado_s_2024_ballot_2024,Will U.S. Supreme Court vote to reinstate Trump on Colorado's 2024 ballot?,polymarket,loaded_polymarket_history
electoral_will_cyril_ramaphosa_be_the_next_president_of_south_africa_2024,Will Cyril Ramaphosa be the next President of South Africa?,polymarket,loaded_polymarket_history
electoral_will_nigel_farage_win_election_to_uk_parliament_2024,Will Nigel Farage win election to UK parliament?,polymarket,loaded_polymarket_history
electoral_trump_sentenced_to_house_arrest_2024,Trump sentenced to house arrest?,polymarket,loaded_polymarket_history
metaculus_debt_ceiling_2023,US debt ceiling resolution risk in 2023,metaculus,skipped_no_history
metaculus_debt_default_risk_2023,US debt default risk in 2023,metaculus,skipped_no_history
metaculus_government_shutdown_2025,US government shutdown risk in 2025,metaculus,skipped_no_history
fiscal_debt_us_debt_ceiling_hike_by_july_1_2023,US debt ceiling hike by July 1?,polymarket,loaded_polymarket_history
geopolitical_will_ukraine_sever_the_land_bridge_between_crimea_and_russia_before_nov_1_2023,Will Ukraine sever the land bridge between Crimea and Russia before Nov 1?,polymarket,loaded_polymarket_history
geopolitical_israel_military_action_against_iran_by_end_of_2024_2024,Israel military action against Iran by end of 2024?,polymarket,loaded_polymarket_history
geopolitical_another_iran_strike_on_israel_in_october_2024,Another Iran strike on Israel in October?,polymarket,loaded_polymarket_history
geopolitical_israel_x_hezbollah_ceasefire_in_2024_2024,Israel x Hezbollah Ceasefire in 2024?,polymarket,loaded_polymarket_history
geopolitical_will_israel_invade_syria_in_2024_2024,Will Israel invade Syria in 2024?,polymarket,loaded_polymarket_history
geopolitical_israel_x_hamas_ceasefire_in_2024_2025,Israel x Hamas ceasefire in 2024?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_increase_interest_rates_by_50_bps_after_its_february_meeting_2023,Will the Fed increase interest rates by 50 bps after its February meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_march_meeting_2023,Will the Fed increase interest rates by 25 bps after its March meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_may_meeting_2023,Will the Fed increase interest rates by 25 bps after its May meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_increase_interest_rates_by_0_bps_after_its_june_meeting_2023,Will the Fed increase interest rates by 0 bps after its June meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_july_meeting_2023,Will the Fed raise interest rates by 25 bps after its July meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_september_meeting_2023,Will the Fed raise interest rates by 0 bps after its September meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_november_meeting_2023,Will the Fed raise interest rates by 25 bps after its November meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_december_meeting_2023,Will the Fed raise interest rates by 0 bps after its December meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_rates_again_in_2023_2024,Will the Fed raise rates again in 2023?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_decrease_interest_rates_by_25_bps_after_its_january_meeting_2024,Will the Fed decrease interest rates by 25 bps after its January meeting?,polymarket,loaded_polymarket_history
monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_2024_march_meeting_2024,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,polymarket,loaded_polymarket_history
monetary_policy_fed_rate_cut_by_march_20_2024,Fed rate cut by March 20?,polymarket,loaded_polymarket_history
monetary_policy_fed_rate_cut_by_may_1_2024,Fed rate cut by May 1?,polymarket,loaded_polymarket_history
monetary_policy_fed_rate_cut_by_june_12_2024,Fed rate cut by June 12?,polymarket,loaded_polymarket_history
monetary_policy_fed_rate_cut_by_july_31_2024,Fed rate cut by July 31?,polymarket,loaded_polymarket_history
monetary_policy_no_change_in_fed_interest_rates_after_2024_september_meeting_2024,No change in Fed interest rates after 2024 September meeting?,polymarket,loaded_polymarket_history
monetary_policy_fed_decreases_interest_rates_by_50_bps_after_november_2024_meeting_2024,Fed decreases interest rates by 50 bps after November 2024 meeting?,polymarket,loaded_polymarket_history
monetary_policy_increase_in_ecb_interest_rates_after_2024_december_meeting_2024,Increase in ECB interest rates after 2024 December meeting?,polymarket,loaded_polymarket_history
monetary_policy_fed_decreases_interest_rates_by_50_bps_after_december_2024_meeting_2024,Fed decreases interest rates by 50 bps after December 2024 meeting?,polymarket,loaded_polymarket_history
monetary_policy_fed_emergency_rate_cut_in_2024_2025,Fed emergency rate cut in 2024?,polymarket,loaded_polymarket_history
metaculus_svb_contagion_2023,SVB contagion risk in 2023,metaculus,skipped_no_history
metaculus_eu_ai_act_enforcement_2024,EU AI Act enforcement in 2024,metaculus,skipped_no_history
metaculus_sec_crypto_action_2024,SEC crypto enforcement action in 2024,metaculus,skipped_no_history
trade_technology_will_the_ethereum_merge_eip_3675_occur_by_october_1_2022_2022,"Will the Ethereum Merge (EIP-3675) occur by October 1, 2022?",polymarket,loaded_polymarket_history
